lastmonth,ip,hostname,email_score,email_score_name,dnsmatch,blacklists,ip_int,lastday,blacklists_count,blacklists_snources,second_level_domain,third_level_domain,category
3.071084512210233,2.224.241.87,2-224-241-87.ip172.fastwebnet.it,,Poor,1,[object Object],48296279,0,3,cbl.abuseat.org | pbl.spamhaus.org | bl.spamcop.net,fastwebnet.it,ip172.fastwebnet.it,consumer
3.7645136074368057,2.225.175.182,2-225-175-182.ip176.fastwebnet.it,,Poor,1,[object Object],48345014,4.640626566762715,2,cbl.abuseat.org | pbl.spamhaus.org,fastwebnet.it,ip176.fastwebnet.it,consumer
4.444460905627123,2.226.12.12,2-226-12-12.ip178.fastwebnet.it,,Poor,1,[object Object],48368652,0,2,cbl.abuseat.org | pbl.spamhaus.org,fastwebnet.it,ip178.fastwebnet.it,consumer
3.4817399689070765,2.228.7.202,egateway02.mercurypayments.it,,Good,1,[object Object],48498634,3.6865167372241863,0,,mercurypayments.it,egateway02.mercurypayments.it,enterprise
4.005001775551836,2.228.9.106,2-228-9-106.ip189.fastwebnet.it,,Neutral,1,[object Object],48499050,0,0,,fastwebnet.it,ip189.fastwebnet.it,consumer
3.5633320123529932,2.228.12.140,smtp.focolare.org,,Neutral,1,[object Object],48499852,3.9873974651493196,0,,focolare.org,smtp.focolare.org,enterprise
3.0706518402124003,2.228.22.122,2-228-22-122.ip189.fastwebnet.it,,Neutral,1,[object Object],48502394,3.5614784944906024,0,,fastwebnet.it,ip189.fastwebnet.it,consumer
3.1927472283373772,2.228.22.123,mail.adcom.it,,Neutral,1,[object Object],48502395,3.5614784944906024,0,,adcom.it,mail.adcom.it,enterprise
3.3969335868202415,2.228.24.205,smtp105.mcontact.it,,Neutral,1,[object Object],48502989,4.125713735230223,0,,mcontact.it,smtp105.mcontact.it,enterprise
4.207776274280431,2.228.24.242,smtp5.mmm.it,,Neutral,1,[object Object],48503026,3.5614784944906024,0,,mmm.it,smtp5.mmm.it,enterprise
4.213003762313292,2.228.24.243,smtp6.mmm.it,,Neutral,1,[object Object],48503027,3.862508490154583,0,,mmm.it,smtp6.mmm.it,enterprise
4.119164156511954,2.228.24.244,smtp7.mmm.it,,Neutral,1,[object Object],48503028,3.084755127551316,0,,mmm.it,smtp7.mmm.it,enterprise
4.232048762854066,2.228.24.245,smtp19.mmm.it,,Neutral,1,[object Object],48503029,3.3851881547612983,0,,mmm.it,smtp19.mmm.it,enterprise
2.9200228805654858,2.228.32.79,mail02.siae.it,,Good,1,[object Object],48504911,0,0,,siae.it,mail02.siae.it,enterprise
2.9068902849459857,2.228.36.187,mail.prodottigianni.com,,Good,1,[object Object],48506043,0,0,,prodottigianni.com,mail.prodottigianni.com,enterprise
3.4896471382627183,2.228.51.207,2-228-51-207.ip190.fastwebnet.it,,Good,1,[object Object],48509903,3.5614784944906024,0,,fastwebnet.it,ip190.fastwebnet.it,consumer
3.085505394688851,2.228.52.234,2-228-52-234.ip190.fastwebnet.it,,Neutral,1,[object Object],48510186,0,0,,fastwebnet.it,ip190.fastwebnet.it,consumer
2.9075406772938495,2.228.60.199,2-228-60-199.ip190.fastwebnet.it,,Neutral,1,[object Object],48512199,0,0,,fastwebnet.it,ip190.fastwebnet.it,consumer
4.4017795943084455,2.228.66.139,2-228-66-139.ip190.fastwebnet.it,,Good,1,[object Object],48513675,4.765573597052458,0,,fastwebnet.it,ip190.fastwebnet.it,consumer
3.554542550059336,2.228.66.143,maildirect.tntitaly.it,,Good,1,[object Object],48513679,3.084755127551316,0,,tntitaly.it,maildirect.tntitaly.it,enterprise
3.5438003713273187,2.228.67.23,2-228-67-23.ip190.fastwebnet.it,,Good,1,[object Object],48513815,3.783247622788209,0,,fastwebnet.it,ip190.fastwebnet.it,consumer
2.962935096515888,2.228.93.156,servermail.eurostreet.it,,Poor,1,[object Object],48520604,0,0,,eurostreet.it,servermail.eurostreet.it,enterprise
3.1123346598927113,2.228.95.50,smtp.fincantieri.it,,Good,1,[object Object],48521010,0,0,,fincantieri.it,smtp.fincantieri.it,enterprise
3.1298460900525993,2.228.95.51,smtp.fincantieri.it,,Good,1,[object Object],48521011,3.084755127551316,0,,fincantieri.it,smtp.fincantieri.it,enterprise
2.934087355095046,2.228.102.212,2-228-102-212.ip191.fastwebnet.it,,Poor,1,[object Object],48522964,0,1,cbl.abuseat.org,fastwebnet.it,ip191.fastwebnet.it,consumer
3.1314602410411445,2.228.111.229,mg.luisaviaroma.com,,Good,1,[object Object],48525285,3.084755127551316,0,,luisaviaroma.com,mg.luisaviaroma.com,enterprise
3.159765242753471,2.228.121.163,mail.conadfo.it,,Good,1,[object Object],48527779,3.6865167372241863,0,,conadfo.it,mail.conadfo.it,enterprise
3.891014047411305,2.228.133.2,,,Good,,[object Object],48530690,3.783247622788209,0,,,,enterprise
3.3585737690708686,2.228.136.250,relay1.icp.mi.it,,Poor,1,[object Object],48531706,0,0,,icp.mi.it,relay1.icp.mi.it,enterprise
3.4744555893189624,2.228.136.251,relay2.icp.mi.it,,Neutral,1,[object Object],48531707,0,0,,icp.mi.it,relay2.icp.mi.it,enterprise
2.8837607847012956,2.228.147.108,smtp.bricoio.it,,Neutral,1,[object Object],48534380,0,0,,bricoio.it,smtp.bricoio.it,enterprise
2.914767041719899,2.228.147.228,2-228-147-228.ip192.fastwebnet.it,,Poor,1,[object Object],48534500,3.3851881547612983,1,cbl.abuseat.org,fastwebnet.it,ip192.fastwebnet.it,consumer
4.11793689877694,2.228.150.119,2-228-150-119.ip192.fastwebnet.it,,Good,1,[object Object],48535159,4.4065196636238895,0,,fastwebnet.it,ip192.fastwebnet.it,consumer
3.420954449198538,2.228.150.124,2-228-150-124.ip192.fastwebnet.it,,Neutral,1,[object Object],48535164,3.084755127551316,0,,fastwebnet.it,ip192.fastwebnet.it,consumer
2.9223702692818443,2.228.150.228,antispam2.gruppopam.it,,Neutral,1,[object Object],48535268,3.084755127551316,0,,gruppopam.it,antispam2.gruppopam.it,enterprise
3.675926271635465,2.228.152.66,2-228-152-66.ip192.fastwebnet.it,,Good,1,[object Object],48535618,3.5614784944906024,0,,fastwebnet.it,ip192.fastwebnet.it,consumer
3.629933727806337,2.228.152.75,2-228-152-75.ip192.fastwebnet.it,,Good,1,[object Object],48535627,3.5614784944906024,0,,fastwebnet.it,ip192.fastwebnet.it,consumer
3.27105784229689,2.228.164.82,2-228-164-82.ip192.fastwebnet.it,,Good,1,[object Object],48538706,3.6865167372241863,0,,fastwebnet.it,ip192.fastwebnet.it,consumer
4.248285225686198,2.228.236.149,smtp2.gls-italy.com,,Good,1,[object Object],48557205,4.230456840939598,0,,gls-italy.com,smtp2.gls-italy.com,enterprise
4.38174002261173,2.228.254.10,mail.aslcaserta.it,,Good,1,[object Object],48561674,0,0,,aslcaserta.it,mail.aslcaserta.it,enterprise
